FECHA,HORA,L蚇EA,MOTIVO,DURACION
22/5/2019,21:28:02,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:38:02
8/3/2019,16:38:10,B,Servicio con demora,00:37:59
6/7/2019,23:42:02,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,00:36:00
14/11/2019,21:28:07,B,Servicio con demora por una formaci髇 detenida debido a una causa t閏nica.,00:35:56
14/7/2019,14:20:05,B,Servicio limitado: L.N.Alem - A. Gallardo y F. Lacroze - J.M.de Rosas,00:34:05
31/5/2019,17:58:03,B,Los trenes no se detienen en Medrano,00:32:08
5/11/2019,19:16:13,B,Servicio con demora por una formaci髇 detenida debido a una causa t閏nica.,00:32:01
25/6/2019,12:46:02,B,Servicio con demora,00:32:00
2/12/2019,21:44:04,B,Servicio con demora debido a una causa t閏nica.,00:32:00
16/8/2019,11:32:04,B,Servicio con demora debido a un problema t閏nico,00:31:58
21/10/2019,21:42:02,B,Servicio con demora debido a una causa t閏nica.,00:30:07
16/4/2019,11:52:09,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:30:01
28/8/2019,23:38:08,B,Interrumpida por medida de fuerza gremial,00:30:00
15/4/2019,09:58:03,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:30:00
7/8/2019,21:58:02,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:30:00
25/10/2019,21:24:03,B,Servicio limitado entre las estaciones Alem - Gallardo y Lacroze - Rosas,00:29:59
2/8/2019,21:36:05,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:29:57
5/7/2019,09:00:12,B,Servicio con demora,00:29:56
18/6/2019,10:42:09,B,Los trenes no se detienen en Pueyrred髇 con destino a J. M. de Rosas,00:29:55
4/11/2019,21:52:13,B,Servicio con demora por una formaci髇 detenida debido a una causa t閏nica.,00:29:53
23/10/2019,20:54:05,B,Servicio con demora debido a una causa t閏nica.,00:27:57
23/12/2019,22:30:14,B,Servicio con demora por una formaci髇 detenida debido a una causa t閏nica.,00:27:47
19/7/2019,23:42:02,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:26:09
8/6/2019,15:02:04,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,00:26:06
29/7/2019,21:32:02,B,Servicio Limitado entre J. M. de Rosas y Medrano,00:26:04
16/1/2019,12:42:02,B,Los trenes no se detienen en Uruguay con destino a L. N. Alem,00:26:01
29/8/2019,21:58:04,B,Servicio con demora,00:26:01
25/6/2019,12:14:08,B,Servicio limitado entre L. N. Alem y Los Incas,00:25:54
4/7/2019,19:48:09,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:25:53
16/8/2019,15:00:02,B,Servicio con demora,00:24:02
28/3/2019,22:10:04,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,00:24:01
