FECHAyHORA,FECHA,HORA,LINEA,MOTIVO,DURACION_(MINUTOS)
11/4/2019 12:30,11/04/2019,12:30:07,B,Con demora debido a la atenci�n m�dica a un usuario a bordo de formaci�n,06
10/4/2019 14:44,10/04/2019,14:44:12,B,Con demora por una formaci�n detenida debido a un problema t�cnico,05
9/4/2019 12:18,09/04/2019,12:18:02,B,Servicio con demora,02
8/4/2019 21:52,08/04/2019,21:52:03,B,Servicio con demora,64
8/4/2019 21:40,08/04/2019,21:40:20,B,Servicio limitado entre L.N. Alem y Los Incas,07
8/4/2019 21:30,08/04/2019,21:30:10,B,Servicio limitado entre L. N. Alem y Los Incas,07
8/4/2019 15:52,08/04/2019,15:52:09,B,Servicio con demora debido a un problema t�cnico en una formaci�n,18
8/4/2019 11:20,08/04/2019,11:20:05,B,Servicio con demora debido a la atenci�n m�dica a un usuario,20
31/3/2019 19:14,31/03/2019,19:14:07,B,Servicio con demora,22
28/3/2019 22:44,28/03/2019,22:44:02,B,Servicio con demora,52
28/3/2019 22:10,28/03/2019,22:10:04,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,24
28/3/2019 21:56,28/03/2019,21:56:02,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,10
28/3/2019 19:22,28/03/2019,19:22:02,B,Servicio con demora debido a un problema t�cnico,06
28/3/2019 16:34,28/03/2019,16:34:04,B,Servicio con demora debido a un problema t�cnico,09
26/3/2019 19:48,26/03/2019,19:48:02,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,14
26/3/2019 19:46,26/03/2019,19:46:07,B,Servicio con demora debido a un problema t�cnico en una formaci�n,00
25/3/2019 19:00,25/03/2019,19:00:07,B,Servicio Limitado entre Rosas y Florida por operativo de seguridad en la v�a p�blica,477
25/3/2019 14:32,25/03/2019,14:32:09,B,Servicio con demora,09
21/3/2019 10:18,21/03/2019,10:18:10,B,Servicio con demora debido a un problema t�cnico en una formaci�n,17
20/3/2019 14:08,20/03/2019,14:08:07,B,Servicio con demora debido a un problema t�cnico,09
20/3/2019 13:56,20/03/2019,13:56:11,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,05
18/3/2019 14:18,18/03/2019,14:18:09,B,Por atenci�n m�dica a un usuario Los trenes no se detienen en Pueyrred�n,167
18/3/2019 13:54,18/03/2019,13:54:08,B,Los trenes no se detienen en Pueyrred�n,21
13/3/2019 21:46,13/03/2019,21:46:01,B,Servicio Limitado entre J. M. de Rosas y Medrano,06
11/3/2019 16:24,11/03/2019,16:24:09,B,Servicio con demora debido a un problema t�cnico,12
8/3/2019 16:38,08/03/2019,16:38:10,B,Servicio con demora,37
3/3/2019 11:52,03/03/2019,11:52:05,B,Servicio Limitado entre J. M. de Rosas y Medrano,23
2/3/2019 11:56,02/03/2019,11:56:06,B,Los trenes no se detienen en Uruguay,59
27/2/2019 21:32,27/02/2019,21:32:04,B,Servicio con demora debido a un problema t�cnico,68
27/2/2019 20:38,27/02/2019,20:38:05,B,Servicio con demora debido a un problema t�cnico,17
27/2/2019 20:34,27/02/2019,20:34:03,B,Servicio con demora debido a un problema t�cnico en una formaci�n,01
27/2/2019 13:00,27/02/2019,13:00:08,B,Servicio con demora debido a un problema t�cnico,41
27/2/2019 12:08,27/02/2019,12:08:05,B,Servicio con demora,46
27/2/2019 11:54,27/02/2019,11:54:05,B,Interrupci�n debido a un problema t�cnico en una formaci�n,08
27/2/2019 11:52,27/02/2019,11:52:03,B,Servicio con demora debido a un problema t�cnico en una formaci�n,00
13/2/2019 20:26,13/02/2019,20:26:07,B,Servicio con demora debido a un problema t�cnico en una formaci�n,07
13/2/2019 20:08,13/02/2019,20:08:02,B,Interrupci�n debido a un problema t�cnico en una formaci�n,14
13/2/2019 20:04,13/02/2019,20:04:02,B,Servicio con demora debido a un problema t�cnico en una formaci�n,02
12/2/2019 13:36,12/02/2019,13:36:07,B,Servicio Limitado entre J. M. de Rosas y Medrano,237
11/2/2019 21:26,11/02/2019,21:26:02,B,Con demora debido a un problema operativo,10
8/2/2019 17:58,08/02/2019,17:58:03,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,08
6/2/2019 15:48,06/02/2019,15:48:09,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,08
1/2/2019 10:22,01/02/2019,10:22:02,B,Servicio con demora debido a un problema t�cnico en una formaci�n,04
29/1/2019 18:18,29/01/2019,18:18:10,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,21
22/1/2019 23:36,22/01/2019,23:36:08,B,Servicio con demora,67
22/1/2019 21:38,22/01/2019,21:38:09,B,Interrumpida por falta de suministro de energ�a el�ctrica debido a causas ajenas,111
16/1/2019 12:42,16/01/2019,12:42:02,B,Los trenes no se detienen en Uruguay con destino a L. N. Alem,26
16/1/2019 10:42,16/01/2019,10:42:08,B,Los trenes no se detienen en Uruguay con destino a L. N. Alem,117
16/1/2019 09:42,16/01/2019,09:42:02,B,Los trenes no se detienen en Uruguay con destino a L. N. Alem,58
16/1/2019 08:42,16/01/2019,08:42:04,B,Los trenes no se detienen en Uruguay con destino a L. N. Alem,58
16/1/2019 00:02,16/01/2019,00:02:08,B,Los trenes no se detienen en Uruguay con destino a L. N. Alem,129
15/1/2019 23:46,15/01/2019,23:46:08,B,Los trenes no se detienen en Uruguay con destino a L. N. Alem,14
15/1/2019 23:34,15/01/2019,23:34:04,B,Los trenes no se detienen en Uruguay,09
15/1/2019 20:58,15/01/2019,20:58:08,B,Con demora por factores clim�ticos,153
13/1/2019 13:18,13/01/2019,13:18:02,B,Los trenes no se detienen en Callao con destino a L. N. Alem,182
12/1/2019 15:56,12/01/2019,15:56:02,B,Servicio limitado entre L. N. Alem y Federico Lacroze,40
