orden;Fecha;Linea;Mensaje;Duración;segundos
1059;08.07.2020 09:04:07;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:53:56;93236
1060;08.07.2020 09:04:07;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:53:56;93236
1061;08.07.2020 09:04:07;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;07:04:11;25451
1062;08.07.2020 09:04:07;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:53:56;93236
1063;08.07.2020 09:04:07;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:53:56;93236
1064;08.07.2020 09:04:07;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:53:56;93236
1065;07.07.2020 22:32:08;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;10:25:55;37555
1066;07.07.2020 22:28:17;B;Ya circula con su frecuencia habitual;00:02:01;121
1067;07.07.2020 22:22:07;B;Ya realiza recorrido completo entre cabeceras.;00:01:57;117
1068;07.07.2020 22:00:04;B;Servicio Limitado entre las estaciones Juan Manuel de Rosas y Medrano;00:20:13;1213
1069;07.07.2020 09:02:04;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:59;86159
1070;07.07.2020 09:02:04;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;12:56:04;46564
1071;07.07.2020 09:02:04;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:59;86159
1072;07.07.2020 09:02:04;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:59;86159
1073;07.07.2020 09:02:04;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:59;86159
1074;07.07.2020 09:02:04;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:59;86159
1075;06.07.2020 09:38:03;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:14:01;83641
1076;06.07.2020 09:38:03;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:14:01;83641
1077;06.07.2020 09:38:03;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:14:01;83641
1078;06.07.2020 09:38:03;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:14:01;83641
1079;06.07.2020 09:38:03;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:14:01;83641
1080;06.07.2020 09:38:03;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:14:01;83641
1081;04.07.2020 09:02:15;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;48:31:54;174714
