orden;Fecha;Linea;Mensaje;Duración
136;12.11.2020 09:00:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00
137;12.11.2020 09:00:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00
138;12.11.2020 09:00:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00
139;12.11.2020 09:00:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00
140;12.11.2020 09:00:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00
141;12.11.2020 09:00:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00
142;11.11.2020 09:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00
143;11.11.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00
144;11.11.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00
145;11.11.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00
146;11.11.2020 09:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00
147;11.11.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00
148;10.11.2020 19:32:03;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;13:19:59
149;10.11.2020 19:28:02;H;Ya realiza recorrido completo entre cabeceras.;00:02:01
150;10.11.2020 19:10:02;H;Servicio limitado entre las estaciones Facultad de Derecho y Caseros;00:16:01
151;10.11.2020 09:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00
152;10.11.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00
153;10.11.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00
154;10.11.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00
155;10.11.2020 09:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00
156;10.11.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;10:06:00
157;09.11.2020 09:04:03;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:45:59
158;09.11.2020 09:04:03;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:45:59
159;09.11.2020 09:04:03;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:45:59
160;09.11.2020 09:04:03;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:45:59
161;09.11.2020 09:04:03;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:45:59
162;09.11.2020 09:04:03;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:45:59
163;08.11.2020 13:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;19:54:00
164;08.11.2020 11:02:01;E;Inicia servicio a las 10hs por obras de mejora.;01:58:01
165;07.11.2020 09:00:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;47:56:00
166;07.11.2020 09:00:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;47:56:00
167;07.11.2020 09:00:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;47:56:00
168;07.11.2020 09:00:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;47:56:00
169;07.11.2020 09:00:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:58:00
170;07.11.2020 09:00:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;47:56:00
171;06.11.2020 09:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00
172;06.11.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00
173;06.11.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00
174;06.11.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00
175;06.11.2020 09:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00
176;06.11.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00
177;05.11.2020 09:18:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:34:00
178;05.11.2020 09:18:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:34:00
179;05.11.2020 09:18:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:34:00
180;05.11.2020 09:18:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:34:00
181;05.11.2020 09:18:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:34:00
182;05.11.2020 09:18:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:34:00
183;04.11.2020 20:40:03;P;Ya circula con su frecuencia habitual;00:02:01
184;04.11.2020 20:38:02;P;Servicio con demora por rozamiento de vehículo.;00:00:00
185;04.11.2020 16:56:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;16:16:00
186;04.11.2020 16:50:02;A;Ya realiza recorrido completo entre cabeceras.;00:04:00
187;04.11.2020 16:46:02;A;Servicio Limitado entre las estaciones Acoyte y Perú;00:02:00
188;04.11.2020 16:42:02;A;Servicio con demora debido a una causa técnica.;00:02:00
